original_value,normalized_value,suggested_group,similarity_score,count,decision
Topsoil - Innovative Urban Agriculture Inc.,TOPSOIL INNOVATIVE URBAN AGRICULTURE INC,TOPSOIL - Innovative Urban Agriculture Inc.,100,2,accepted
Toronto Metropolitan University,TORONTO METROPOLITAN UNIVERSITY,TORONTO METROPOLITAN UNIVERSITY,100,2,accepted
Total Fabrication Inc.,TOTAL FABRICATION INC,Total Fabrication Inc.,100,2,accepted
Total Océan inc.|Total Océan inc.,TOTAL OCEAN INC,Total Océan inc.|Total Océan inc.,100,2,accepted
Tourbières Lambert inc.,TOURBIERES LAMBERT INC,Tourbières Lambert inc.,100,2,accepted
Touverre inc.,TOUVERRE INC,Touverre inc.,100,2,accepted
Town of Claresholm,TOWN OF CLARESHOLM,TOWN OF CLARESHOLM,100,2,accepted
Town of Devon,TOWN OF DEVON,TOWN OF DEVON,100,2,accepted
Town of Flower's Cove|Town of Flower's Cove,TOWN OF FLOWER S COVE,Town of Flower's Cove|Town of Flower's Cove,100,2,accepted
Town of Gaultois|Town of Gaultois,TOWN OF GAULTOIS,Town of Gaultois|Town of Gaultois,100,2,accepted
Town of Hinton,TOWN OF HINTON,TOWN OF HINTON,100,2,accepted
Town of Lockeport,TOWN OF LOCKEPORT,TOWN OF LOCKEPORT,100,2,accepted
Town of Smoky Lake,TOWN OF SMOKY LAKE,Town of Smoky Lake,100,2,accepted
Town of Three Rivers,TOWN OF THREE RIVERS,TOWN OF THREE RIVERS,100,2,accepted
Town of Westville|Town of Westville,TOWN OF WESTVILLE,Town of Westville|Town of Westville,100,2,accepted
Trans Bio Tech Centre de recherche et de transfert en biotechnologie|Trans Bio Tech Centre de recherche et de transfert en biotechnologie,TRANS BIO TECH CENTRE DE RECHERCHE ET DE TRANSFERT EN BIOTECHNOLOGIE,Trans Bio Tech Centre de recherche et de transfert en biotechnologie|Trans Bio Tech Centre de recherche et de transfert en biotechnologie,100,2,accepted
"Tremblay, Jacques P",TREMBLAY JACQUES P,"TREMBLAY, Jacques P",100,2,accepted
"Tremblay, Marie-Ève",TREMBLAY MARIE EVE,"TREMBLAY, Marie-Ève",100,2,accepted
"Tremblay, Michel J",TREMBLAY MICHEL J,"TREMBLAY, Michel J",100,2,accepted
Trent University,TRENT UNIVERSITY,TRENT UNIVERSITY,100,2,accepted
Tri-County Women's Centre - Digby,TRI COUNTY WOMEN S CENTRE DIGBY,Tri-County Women's Centre - Digby,100,2,accepted
TriCycle Inc.,TRICYCLE INC,TriCycle Inc.,100,2,accepted
"Tsao, Nicole",TSAO NICOLE,"Tsao, Nicole",100,2,accepted
Tsleil-Waututh Nation,TSLEIL WAUTUTH NATION,TSLEIL-WAUTUTH NATION,100,2,accepted
"Tu, Jack V",TU JACK V,"TU, Jack V",100,2,accepted
"Tu, Karen",TU KAREN,"Tu, Karen",100,2,accepted
Tuck's Bee Better Farm Inc.,TUCK S BEE BETTER FARM INC,Tuck's Bee Better Farm Inc.,100,2,accepted
Tuckamore Homestead Inc,TUCKAMORE HOMESTEAD INC,Tuckamore Homestead Inc.,100,2,accepted
"Tyler Papple, Summer Papple",TYLER PAPPLE SUMMER PAPPLE,"Tyler Papple, Summer Papple",100,2,accepted
Tyson Macdonald,TYSON MACDONALD,Tyson MacDonald,100,2,accepted
Tôle Art inc.|Tôle Art inc.,TOLE ART INC,Tôle Art inc.|Tôle Art inc.,100,2,accepted
UCHUCKLESAHT TRIBE GOVERNMENT,UCHUCKLESAHT TRIBE GOVERNMENT,Uchucklesaht Tribe Government,100,2,accepted
"UHER, Rudolf",UHER RUDOLF,"Uher, Rudolf",100,2,accepted
"ULUDAG, Hasan",ULUDAG HASAN,"ULUDAG, Hasan",100,2,accepted
UN GOUT DES CARAIBES INC.,UN GOUT DES CARAIBES INC,UN GOUT DES CARAIBES INC.,100,2,accepted
"UNDERHILL, D. A",UNDERHILL D A,"UNDERHILL, D. A",100,2,accepted
"UNGAR, Wendy J",UNGAR WENDY J,"UNGAR, Wendy J",100,2,accepted
UNITED WAY CENTRAIDE NORTH EAST ONTARIO / NORD-EST DE L'ONTARIO,UNITED WAY CENTRAIDE NORTH EAST ONTARIO NORD EST DE L ONTARIO,UNITED WAY CENTRAIDE NORTH EAST ONTARIO/ NORD-EST DE L'ONTARIO,100,2,accepted
UNITED WAY CENTRAIDE NORTH EAST ONTARIO/ NORD-EST DE L'ONTARIO,UNITED WAY CENTRAIDE NORTH EAST ONTARIO NORD EST DE L ONTARIO,UNITED WAY CENTRAIDE NORTH EAST ONTARIO/ NORD-EST DE L'ONTARIO,100,2,accepted
UNITED WAY OF BRUCE GREY,UNITED WAY OF BRUCE GREY,UNITED WAY OF BRUCE GREY,100,2,accepted
UNIVERSITY OF BRITISH COLUMBIA - MUSEUM OF ANTHROPOLOGY,UNIVERSITY OF BRITISH COLUMBIA MUSEUM OF ANTHROPOLOGY,UNIVERSITY OF BRITISH COLUMBIA MUSEUM OF ANTHROPOLOGY,100,2,accepted
"UNIVERSITY OF BRITISH, Columbia",UNIVERSITY OF BRITISH COLUMBIA,UNIVERSITY OF BRITISH COLUMBIA,100,2,accepted
UNIVERSITY OF LETHBRIDGE - ART GALLERY,UNIVERSITY OF LETHBRIDGE ART GALLERY,UNIVERSITY OF LETHBRIDGE ART GALLERY,100,2,accepted
"URSINI-SIEGEL, Giuseppina",URSINI SIEGEL GIUSEPPINA,"URSINI-SIEGEL, Giuseppina",100,2,accepted
"UTAS, BRIANNA LINDA ALICE",UTAS BRIANNA LINDA ALICE,"UTAS, BRIANNA LINDA ALICE",100,2,accepted
Uchucklesaht Tribe Government,UCHUCKLESAHT TRIBE GOVERNMENT,Uchucklesaht Tribe Government,100,2,accepted
Ucluelet First Nation,UCLUELET FIRST NATION,Ucluelet First Nation,100,2,accepted
Ugandan SDA Community Toronto,UGANDAN SDA COMMUNITY TORONTO,Ugandan SDA Community Toronto,100,2,accepted
Ulnooweg Education Centre,ULNOOWEG EDUCATION CENTRE,Ulnooweg Education Centre,100,2,accepted
"Uludag, Hasan",ULUDAG HASAN,"ULUDAG, Hasan",100,2,accepted
Umano médical inc.|Umano médical inc.,UMANO MEDICAL INC,Umano médical inc.|Umano médical inc.,100,2,accepted
Unique Get Together Society,UNIQUE GET TOGETHER SOCIETY,UNIQUE GET TOGETHER SOCIETY,100,2,accepted
Unito Inc.|Unito Inc.,UNITO INC,Unito Inc.|Unito Inc.,100,2,accepted
University of Calgary,UNIVERSITY OF CALGARY,University of Calgary,100,2,accepted
University of Manitoba,UNIVERSITY OF MANITOBA,UNIVERSITY OF MANITOBA,100,2,accepted
University of Windsor International Students Centre,UNIVERSITY OF WINDSOR INTERNATIONAL STUDENTS CENTRE,University of Windsor International Students Centre,100,2,accepted
Université Laval - Faculté des sciences de l'agriculture et de l'alimentation,UNIVERSITE LAVAL FACULTE DES SCIENCES DE L AGRICULTURE ET DE L ALIMENTATION,Université Laval - Faculté des sciences de l'agriculture et de l'alimentation,100,2,accepted
Upper Thames River Conservation Authority,UPPER THAMES RIVER CONSERVATION AUTHORITY,Upper Thames River Conservation Authority,100,2,accepted
Urban Machinery Corporation|Urban Machinery Corporation,URBAN MACHINERY CORPORATION,Urban Machinery Corporation|Urban Machinery Corporation,100,2,accepted
Urban Society for Aboriginal Youth,URBAN SOCIETY FOR ABORIGINAL YOUTH,URBAN SOCIETY FOR ABORIGINAL YOUTH,100,2,accepted
"Urquhart, Robin L",URQUHART ROBIN L,"Urquhart, Robin L",100,2,accepted
"Urquia, Marcelo L",URQUIA MARCELO L,"URQUIA, Marcelo L",100,2,accepted
Usimax inc.,USIMAX INC,Usimax inc.,100,2,accepted
Usinage Filiatrault inc.|Usinage Filiatrault inc.,USINAGE FILIATRAULT INC,Usinage Filiatrault inc.|Usinage Filiatrault inc.,100,2,accepted
Usinage Pro-24 Inc.|Usinage Pro-24 Inc.,USINAGE PRO 24 INC,Usinage Pro-24 Inc.|Usinage Pro-24 Inc.,100,2,accepted
Usinage X-Spec inc.|Usinage X-Spec inc.,USINAGE X SPEC INC,Usinage X-Spec inc.|Usinage X-Spec inc.,100,2,accepted
Usine Rotec inc.|Usine Rotec inc.,USINE ROTEC INC,Usine Rotec inc.|Usine Rotec inc.,100,2,accepted
"VAKALIS, DONNA MARIE",VAKALIS DONNA MARIE,"VAKALIS, DONNA MARIE",100,2,accepted
"VALLANCE, Bruce A",VALLANCE BRUCE A,"Vallance, Bruce A",100,2,accepted
"VAN DER KOOY, Derek J",VAN DER KOOY DEREK J,"VAN DER KOOY, Derek J",100,2,accepted
"VAN LANDEGHEM, CHANTAL JEAN",VAN LANDEGHEM CHANTAL JEAN,"VANLANDEGHEM, CHANTAL JEAN",100,2,accepted
"VAN PETEGEM, Filip",VAN PETEGEM FILIP,"Van Petegem, Filip",100,2,accepted
VANKLEEK HILL & DISTRICT HISTORICAL SOCIETY / SOCIÉTÉ HISTORIQUE RÉGIONALE DE VANKLEEK HILL,VANKLEEK HILL DISTRICT HISTORICAL SOCIETY SOCIETE HISTORIQUE REGIONALE DE VANKLEEK HILL,VANKLEEK HILL & DISTRICT HISTORICAL SOCIETY / SOCIÉTÉ HISTORIQUE RÉGIONALE DE VANKLEEK HILL,100,2,accepted
"VANLANDEGHEM, CHANTAL JEAN",VANLANDEGHEM CHANTAL JEAN,"VANLANDEGHEM, CHANTAL JEAN",100,2,accepted
"VARGA, ROLAND",VARGA ROLAND,"VARGA, ROLAND",100,2,accepted
"VASCONCELOS, Sara N",VASCONCELOS SARA N,"VASCONCELOS, Sara N",100,2,accepted
"VASILIADIS, Helen-Maria",VASILIADIS HELEN MARIA,"Vasiliadis, Helen-Maria",100,2,accepted
"VAUGHAN, HANNAH",VAUGHAN HANNAH,"VAUGHAN, HANNAH",100,2,accepted
"VEDERAS, John C",VEDERAS JOHN C,"VEDERAS, John C",100,2,accepted
"VERMETTE, JONATHAN",VERMETTE JONATHAN,"VERMETTE, JONATHAN",100,2,accepted
"VERNON-EVANS, SHARONE",VERNON EVANS SHARONE,"VERNON-EVANS, SHARONE",100,2,accepted
VICTORIA PLAYHOUSE INC.,VICTORIA PLAYHOUSE INC,VICTORIA PLAYHOUSE INC.,100,2,accepted
VIDCRUITER INC.|VIDCRUITER INC.,VIDCRUITER INC,VidCruiter Inc.|VidCruiter Inc.,100,2,accepted
VIEUX-QUÉBEC FEIS,VIEUX QUEBEC FEIS,VIEUX-QUÉBEC FEIS,100,2,accepted
VIGNOBLE CARPINTERI INC.,VIGNOBLE CARPINTERI INC,VIGNOBLE CARPINTERI INC.,100,2,accepted
"VILANOVA, MARINA",VILANOVA MARINA,"VILANOVA, MARINA",100,2,accepted
VILLAGE DE CAP-PELÉ INC.,VILLAGE DE CAP PELE INC,VILLAGE DE CAP-PELE INC.,100,2,accepted
VILLAGE THEATRE WEST INC. / THÉÂTRE DE VILLAGE OUEST INC.,VILLAGE THEATRE WEST INC THEATRE DE VILLAGE OUEST INC,VILLAGE THEATRE WEST INC./THÉÂTRE DE VILLAGE OUEST INC.,100,2,accepted
VILLE DE CHIBOUGAMAU,VILLE DE CHIBOUGAMAU,VILLE DE CHIBOUGAMAU,100,2,accepted
VILLE DE LAVALTRIE,VILLE DE LAVALTRIE,VILLE DE LAVALTRIE,100,2,accepted
VILLE DE MACAMIC,VILLE DE MACAMIC,VILLE DE MACAMIC,100,2,accepted
VILLE DE MONTRÉAL - ARRONDISSEMENT OUTREMONT,VILLE DE MONTREAL ARRONDISSEMENT OUTREMONT,VILLE DE MONTRÉAL - ARRONDISSEMENT OUTREMONT,100,2,accepted
VILLE DE SAINT-PASCAL,VILLE DE SAINT PASCAL,Ville de Saint-Pascal,100,2,accepted
VILLE DE SAINTE-ANNE-DES-MONTS,VILLE DE SAINTE ANNE DES MONTS,Ville de Sainte-Anne-des-Monts,100,2,accepted
VINLAWS WINE LTD,VINLAWS WINE LTD,VINLAWS WINE LTD,100,2,accepted
VINLAWS WINE LTD.,VINLAWS WINE LTD,VINLAWS WINE LTD,100,2,accepted
"VIRTUE, TESSA JANE",VIRTUE TESSA JANE,"VIRTUE, TESSA JANE",100,2,accepted
"VITTECOQ, CORALIE",VITTECOQ CORALIE,"VITTECOQ, CORALIE",100,2,accepted
"VOCADLO, David",VOCADLO DAVID,"Vocadlo, David",100,2,accepted
"VOIGT, BROOKE NICOLE",VOIGT BROOKE NICOLE,"VOIGT, BROOKE NICOLE",100,2,accepted
"VOSS, ERIC",VOSS ERIC,"VOSS, ERIC",100,2,accepted
"VOTH, CHRISTOPHER HENRY LANDON",VOTH CHRISTOPHER HENRY LANDON,"VOTH, CHRISTOPHER HENRY LANDON",100,2,accepted
"Vaillancourt, Tracy",VAILLANCOURT TRACY,"Vaillancourt, Tracy",100,2,accepted
Valley Commons Winery Ltd,VALLEY COMMONS WINERY LTD,Valley Commons Winery Ltd,100,2,accepted
Valley Commons Winery Ltd.,VALLEY COMMONS WINERY LTD,Valley Commons Winery Ltd,100,2,accepted
Valley Flaxflour Ltd.|Valley Flaxflour Ltd.,VALLEY FLAXFLOUR LTD,Valley Flaxflour Ltd.|Valley Flaxflour Ltd.,100,2,accepted
"Valliant, John F",VALLIANT JOHN F,"Valliant, John F",100,2,accepted
Van Dyk's Health Juice Products Ltd.|Van Dyk's Health Juice Products Ltd.,VAN DYK S HEALTH JUICE PRODUCTS LTD,Van Dyk's Health Juice Products Ltd.|Van Dyk's Health Juice Products Ltd.,100,2,accepted
"Van Limbergen, Johan E",VAN LIMBERGEN JOHAN E,"Van Limbergen, Johan E",100,2,accepted
Van Westen Vineyards Ltd,VAN WESTEN VINEYARDS LTD,Van Westen Vineyards Ltd.,100,2,accepted
Vanco Flowers Ltd.|Vanco Flowers Ltd.,VANCO FLOWERS LTD,Vanco Flowers Ltd.|Vanco Flowers Ltd.,100,2,accepted
Vanessa Vineyard Estate Winery Inc.,VANESSA VINEYARD ESTATE WINERY INC,Vanessa Vineyard Estate Winery Inc.,100,2,accepted
VanillaSoft corp.,VANILLASOFT CORP,VanillaSoft corp.,100,2,accepted
"Vasconcelos, Sara N",VASCONCELOS SARA N,"VASCONCELOS, Sara N",100,2,accepted
"Vasiliadis, Helen-Maria",VASILIADIS HELEN MARIA,"Vasiliadis, Helen-Maria",100,2,accepted
"Veillette, André",VEILLETTE ANDRE,"VEILLETTE, André",100,2,accepted
"Velly, Ana Miriam",VELLY ANA MIRIAM,"Velly, Ana Miriam",100,2,accepted
Velstar Dairy Inc.,VELSTAR DAIRY INC,Velstar Dairy Inc.,100,2,accepted
Vera inkjet inc.|Vera inkjet inc.,VERA INKJET INC,Vera inkjet inc.|Vera inkjet inc.,100,2,accepted
"Verchere, Bruce C",VERCHERE BRUCE C,"Verchere, Bruce C",100,2,accepted
"Verena Varga, Amy Smith",VERENA VARGA AMY SMITH,"Verena Varga, Amy Smith",100,2,accepted
Verger R.C. Guertin (2011) Inc.,VERGER R C GUERTIN 2011 INC,Verger R.C. Guertin (2011) Inc.,100,2,accepted
Vestechpro centre de recherche et d'innovation en habillement,VESTECHPRO CENTRE DE RECHERCHE ET D INNOVATION EN HABILLEMENT,Vestechpro centre de recherche et d'innovation en habillement,100,2,accepted
Victory Advanced Technologies Inc.|Victory Advanced Technologies Inc.,VICTORY ADVANCED TECHNOLOGIES INC,Victory Advanced Technologies Inc.|Victory Advanced Technologies Inc.,100,2,accepted
Vigneti Zanatta Ltd,VIGNETI ZANATTA LTD,Vigneti Zanatta Ltd.,100,2,accepted
Vignoble Emile-Auguste S.E.N.C.,VIGNOBLE EMILE AUGUSTE S E N C,Vignoble Emile-Auguste S.E.N.C.,100,2,accepted
Vignoble du Domaine St-Jacques Inc,VIGNOBLE DU DOMAINE ST JACQUES INC,Vignoble du Domaine St-Jacques Inc.,100,2,accepted
Vignoble du Marathonien Inc.,VIGNOBLE DU MARATHONIEN INC,Vignoble du Marathonien Inc.,100,2,accepted
Vignoble Émile-Auguste S.E.N.C,VIGNOBLE EMILE AUGUSTE S E N C,Vignoble Emile-Auguste S.E.N.C.,100,2,accepted
Village de Memramcook,VILLAGE DE MEMRAMCOOK,VILLAGE DE MEMRAMCOOK,100,2,accepted
Village of Harvey|Village of Harvey,VILLAGE OF HARVEY,Village of Harvey|Village of Harvey,100,2,accepted
Village of St. Peter's|Village of St. Peter's,VILLAGE OF ST PETER S,Village of St. Peter's|Village of St. Peter's,100,2,accepted
Ville de Baie-Comeau,VILLE DE BAIE COMEAU,Ville de Baie-Comeau,100,2,accepted
Ville de Carleton-sur-Mer,VILLE DE CARLETON SUR MER,Ville de Carleton-sur-Mer,100,2,accepted
Ville de Gatineau|Ville de Gatineau,VILLE DE GATINEAU,Ville de Gatineau|Ville de Gatineau,100,2,accepted
Ville de Grande-Rivière|Ville de Grande-Rivière,VILLE DE GRANDE RIVIERE,Ville de Grande-Rivière|Ville de Grande-Rivière,100,2,accepted
Ville de Matane|Ville de Matane,VILLE DE MATANE,Ville de Matane|Ville de Matane,100,2,accepted
Ville de Paspébiac|Ville de Paspébiac,VILLE DE PASPEBIAC,Ville de Paspébiac|Ville de Paspébiac,100,2,accepted
Ville de Saint-Félicien|Ville de Saint-Félicien,VILLE DE SAINT FELICIEN,Ville de Saint-Félicien|Ville de Saint-Félicien,100,2,accepted
Ville de Saint-Pascal,VILLE DE SAINT PASCAL,Ville de Saint-Pascal,100,2,accepted
Ville de Sainte-Anne-des-Monts,VILLE DE SAINTE ANNE DES MONTS,Ville de Sainte-Anne-des-Monts,100,2,accepted
"Villeneuve, Sylvia C",VILLENEUVE SYLVIA C,"Villeneuve, Sylvia C",100,2,accepted
"Vincent, John B",VINCENT JOHN B,"Vincent, John B",100,2,accepted
Vinctus Technologies Inc. - ShuttleControl|Vinctus Technologies Inc. - ShuttleControl,VINCTUS TECHNOLOGIES INC SHUTTLECONTROL,Vinctus Technologies Inc. - ShuttleControl|Vinctus Technologies Inc. - ShuttleControl,100,2,accepted
"Vliagoftis, Harissios",VLIAGOFTIS HARISSIOS,"Vliagoftis, Harissios",100,2,accepted
Volcanic Hills Vineyards & Cellars Ltd.,VOLCANIC HILLS VINEYARDS CELLARS LTD,Volcanic Hills Vineyards & Cellars Ltd,100,2,accepted
Véloroute Desjardins de La Matapédia,VELOROUTE DESJARDINS DE LA MATAPEDIA,Véloroute Desjardins de La Matapédia,100,2,accepted
Vêtements Flip Design inc.,VETEMENTS FLIP DESIGN INC,Vêtements Flip Design inc.,100,2,accepted
"WALLEY, Keith R",WALLEY KEITH R,"WALLEY, Keith R",100,2,accepted
"WALSH, AMELIA GRACE",WALSH AMELIA GRACE,"WALSH, AMELIA GRACE",100,2,accepted
"WALTER, SANDRA ERIKA",WALTER SANDRA ERIKA,"WALTER, SANDRA ERIKA",100,2,accepted
"WANG, Jianli",WANG JIANLI,"WANG, Jianli",100,2,accepted
"WANG, Lu-Yang",WANG LU YANG,"Wang, Lu-Yang",100,2,accepted
"WANG, Yuzhuo",WANG YUZHUO,"Wang, Yuzhuo",100,2,accepted
"WARD, Brian J",WARD BRIAN J,"WARD, Brian J",100,2,accepted
"WARD, JESSE DON",WARD JESSE DON,"WARD, JESSE DON",100,2,accepted
WARDEN WOODS COMMUNITY CENTRE,WARDEN WOODS COMMUNITY CENTRE,Warden Woods Community Centre,100,2,accepted
"WARDLEY, KEYARA JOANNE",WARDLEY KEYARA JOANNE,"WARDLEY, KEYARA JOANNE",100,2,accepted
WATROUS MANITOU BEACH HERITAGE CENTRE INC.,WATROUS MANITOU BEACH HERITAGE CENTRE INC,WATROUS MANITOU BEACH HERITAGE CENTRE INC.,100,2,accepted
"WATTS, Tania H",WATTS TANIA H,"WATTS, Tania H",100,2,accepted
"WEAGLE, LISA",WEAGLE LISA,"WEAGLE, LISA",100,2,accepted
"WEAVER, KATHERINE MARGARET OTTO",WEAVER KATHERINE MARGARET OTTO,"WEAVER, KATHERINE MARGARET OTTO",100,2,accepted
WEBEQUIE FIRST NATION,WEBEQUIE FIRST NATION,WEBEQUIE FIRST NATION,100,2,accepted
"WEINSTOCK, Daniel M",WEINSTOCK DANIEL M,"WEINSTOCK, Daniel M",100,2,accepted
"WEISS, Jonathan A",WEISS JONATHAN A,"WEISS, Jonathan A",100,2,accepted
"WEITZ, Jeffrey I",WEITZ JEFFREY I,"WEITZ, Jeffrey I",100,2,accepted
"WENG, Andrew P",WENG ANDREW P,"WENG, Andrew P",100,2,accepted
"WERBOWETSKI-OGILVIE, Tamra E",WERBOWETSKI OGILVIE TAMRA E,"WERBOWETSKI-OGILVIE, Tamra E",100,2,accepted
"WERSTUCK, Geoffrey H",WERSTUCK GEOFFREY H,"WERSTUCK, Geoffrey H",100,2,accepted
WESLEY FIRST NATION,WESLEY FIRST NATION,Wesley First Nation,100,2,accepted
WEST MOBERLY FIRST NATIONS,WEST MOBERLY FIRST NATIONS,West Moberly First Nations,100,2,accepted
"WESTBEN ARTS FESTIVAL THEATRE, INC.",WESTBEN ARTS FESTIVAL THEATRE INC,WESTBEN ARTS FESTIVAL THEATRE INC.,100,2,accepted
WESTERN CATHOLIC REPORTER LIMITED - WESTERN CATHOLIC REPORTER,WESTERN CATHOLIC REPORTER LIMITED WESTERN CATHOLIC REPORTER,WESTERN CATHOLIC REPORTER LIMITED. - WESTERN CATHOLIC REPORTER,100,2,accepted
WESTLOCK & DISTRICTTRACTOR MUSEUM FOUNDATION,WESTLOCK DISTRICTTRACTOR MUSEUM FOUNDATION,WESTLOCK & DISTRICTTRACTOR MUSEUM FOUNDATION,100,2,accepted
WESTMORLAND FISHERIES LTD.|WESTMORLAND FISHERIES LTD.,WESTMORLAND FISHERIES LTD,Westmorland Fisheries Ltd.|Westmorland Fisheries Ltd.,100,2,accepted
"WHELAN, Timothy J",WHELAN TIMOTHY J,"WHELAN, Timothy J",100,2,accepted
WHISPERING PINES/CLINTON INDIAN BAND,WHISPERING PINES CLINTON INDIAN BAND,Whispering Pines/Clinton Indian Band,100,2,accepted
"WHITE, John H",WHITE JOHN H,"WHITE, John H",100,2,accepted
"WHITFIELD, Christopher",WHITFIELD CHRISTOPHER,"WHITFIELD, Christopher",100,2,accepted
"WHITLEY, Rob",WHITLEY ROB,"WHITLEY, Rob",100,2,accepted
"WHITLOCK, Richard",WHITLOCK RICHARD,"Whitlock, Richard",100,2,accepted
"WHYNE, Cari M",WHYNE CARI M,"WHYNE, Cari M",100,2,accepted
"WIEN, Frederic C",WIEN FREDERIC C,"WIEN, Frederic C",100,2,accepted
"WIENS, RYLAN MACKENZIE",WIENS RYLAN MACKENZIE,"WIENS, RYLAN MACKENZIE",100,2,accepted
"WILD, Cameron T",WILD CAMERON T,"WILD, Cameron T",100,2,accepted
"WILLETT, Thomas",WILLETT THOMAS,"WILLETT, Thomas",100,2,accepted
WILLIAMS LAKE INDIAN BAND,WILLIAMS LAKE INDIAN BAND,Williams Lake Indian Band,100,2,accepted
"WILLIAMS, Allison M",WILLIAMS ALLISON M,"Williams, Allison M",100,2,accepted
"WILLIAMS, Sylvain",WILLIAMS SYLVAIN,"WILLIAMS, Sylvain",100,2,accepted
"WILLING, Benjamin P",WILLING BENJAMIN P,"WILLING, Benjamin P",100,2,accepted
WILLOW LAKE METIS ASSOCIATION,WILLOW LAKE METIS ASSOCIATION,Willow Lake Metis Association,100,2,accepted
"WINER, Daniel A",WINER DANIEL A,"Winer, Daniel A",100,2,accepted
"WISEMAN, AVERY KATELYN",WISEMAN AVERY KATELYN,"WISEMAN, AVERY KATELYN",100,2,accepted
"WISHART, David S",WISHART DAVID S,"WISHART, David S",100,2,accepted
"WITHERS, Stephen G",WITHERS STEPHEN G,"WITHERS, Stephen G",100,2,accepted
"WODAK, NATASHA",WODAK NATASHA,"WODAK, NATASHA",100,2,accepted
"WOELLER, SHANNON ELIZABETH",WOELLER SHANNON ELIZABETH,"WOELLER, SHANNON ELIZABETH",100,2,accepted
"WOLFE, ANDREW KEVIN",WOLFE ANDREW KEVIN,"WOLFE, ANDREW KEVIN",100,2,accepted
"WONG, Sabrina T",WONG SABRINA T,"Wong, Sabrina T",100,2,accepted
"WOO, Minna N",WOO MINNA N,"Woo, Minna N",100,2,accepted
WOOD ISLANDS WOMEN'S INSTITUTE,WOOD ISLANDS WOMEN S INSTITUTE,WOOD ISLANDS WOMEN'S INSTITUTE,100,2,accepted
"WOODCROFT, NICOLE JASMINE",WOODCROFT NICOLE JASMINE,"WOODCROFT, NICOLE JASMINE",100,2,accepted
"WOODGETT, James (Jim) R",WOODGETT JAMES JIM R,"WOODGETT, James (Jim) R",100,2,accepted
"WOZNIAK, MATTHEW",WOZNIAK MATTHEW,"WOZNIAK, MATTHEW",100,2,accepted
"WRANIK, Dominika W",WRANIK DOMINIKA W,"WRANIK, Dominika W",100,2,accepted
"WRIGHT, CLAIRE DAWN",WRIGHT CLAIRE DAWN,"WRIGHT, CLAIRE DAWN",100,2,accepted
"WRIGHT, David",WRIGHT DAVID,"Wright, David",100,2,accepted
"WRIGHT, EMMA LOUISE",WRIGHT EMMA LOUISE,"WRIGHT, EMMA LOUISE",100,2,accepted
"WRIGHT, MARIE EDITH",WRIGHT MARIE EDITH,"WRIGHT, MARIE EDITH",100,2,accepted
"WU, JOSEPHINE",WU JOSEPHINE,"WU, JOSEPHINE",100,2,accepted
Waddy & Colpitts Ltd.,WADDY COLPITTS LTD,Waddy & Colpitts Ltd.,100,2,accepted
"Wald, Ron",WALD RON,"WALD, Ron",100,2,accepted
"Waldispuhl, Jerome",WALDISPUHL JEROME,"Waldispuhl, Jerome",100,2,accepted
"Wang, Jianli",WANG JIANLI,"WANG, Jianli",100,2,accepted
"Wang, Yu Tian",WANG YU TIAN,"WANG, Yu Tian",100,2,accepted
Waste Robotics inc.,WASTE ROBOTICS INC,Waste Robotics inc.,100,2,accepted
Waswanipi Mishtuk Corporation|Waswanipi Mishtuk Corporation,WASWANIPI MISHTUK CORPORATION,Waswanipi Mishtuk Corporation|Waswanipi Mishtuk Corporation,100,2,accepted
"Watson, Ian R",WATSON IAN R,"Watson, Ian R",100,2,accepted
"Watts, Joel C",WATTS JOEL C,"Watts, Joel C",100,2,accepted
"Weaver, Donald F",WEAVER DONALD F,"Weaver, Donald F",100,2,accepted
"Weijs, Cynthia",WEIJS CYNTHIA,"Weijs, Cynthia",100,2,accepted
"Weitz, Jeffrey I",WEITZ JEFFREY I,"WEITZ, Jeffrey I",100,2,accepted
"Weksberg, Rosanna",WEKSBERG ROSANNA,"Weksberg, Rosanna",100,2,accepted
"Welch, Vivian A",WELCH VIVIAN A,"WELCH, Vivian A",100,2,accepted
Welland Public Library,WELLAND PUBLIC LIBRARY,Welland Public Library,100,2,accepted
"Wellington, Cheryl L",WELLINGTON CHERYL L,"Wellington, Cheryl L",100,2,accepted
"Weng, Andrew P",WENG ANDREW P,"WENG, Andrew P",100,2,accepted
"Werbowetski-Ogilvie, Tamra E",WERBOWETSKI OGILVIE TAMRA E,"WERBOWETSKI-OGILVIE, Tamra E",100,2,accepted
Wesbert Winery Ltd.,WESBERT WINERY LTD,Wesbert Winery Ltd.,100,2,accepted
West Grey Premium Beef Inc,WEST GREY PREMIUM BEEF INC,West Grey Premium Beef Inc.,100,2,accepted
West Willow Village Neighbourhood Group,WEST WILLOW VILLAGE NEIGHBOURHOOD GROUP,West Willow Village Neighbourhood Group,100,2,accepted
"West, Lori J",WEST LORI J,"WEST, Lori J",100,2,accepted
"Westaway, David",WESTAWAY DAVID,"WESTAWAY, David",100,2,accepted
Western Grain Dryer Inc.,WESTERN GRAIN DRYER INC,Western Grain Dryer Inc,100,2,accepted
Weymouth Waterfront Development Committee|Weymouth Waterfront Development Committee,WEYMOUTH WATERFRONT DEVELOPMENT COMMITTEE,Weymouth Waterfront Development Committee|Weymouth Waterfront Development Committee,100,2,accepted
