original_value,normalized_value,suggested_group,similarity_score,count,decision
Société Nationale de l'Acadie|Société Nationale de l'Acadie,SOCIETE NATIONALE DE L ACADIE,Société Nationale de l'Acadie|Société Nationale de l'Acadie,100,41,accepted
Atlantic Canada Fish Farmers Association Inc.|Atlantic Canada Fish Farmers Association Inc.,ATLANTIC CANADA FISH FARMERS ASSOCIATION INC,Atlantic Canada Fish Farmers Association Inc.|Atlantic Canada Fish Farmers Association Inc.,100,40,accepted
CARREFOUR DE L'ISLE-SAINT-JEAN,CARREFOUR DE L ISLE SAINT JEAN,CARREFOUR DE L'ISLE-SAINT-JEAN,100,40,accepted
Charlotte County Development Corporation Inc.|Charlotte County Development Corporation Inc.,CHARLOTTE COUNTY DEVELOPMENT CORPORATION INC,Charlotte County Development Corporation Inc.|Charlotte County Development Corporation Inc.,100,40,accepted
FIRST LIGHT ST. JOHN'S FRIENDSHIP CENTRE INC.,FIRST LIGHT ST JOHN S FRIENDSHIP CENTRE INC,FIRST LIGHT ST. JOHN'S FRIENDSHIP CENTRE INC.,100,40,accepted
FATHERS OF CONFEDERATION BUILDINGS TRUST,FATHERS OF CONFEDERATION BUILDINGS TRUST,FATHERS OF CONFEDERATION BUILDINGS TRUST,100,39,accepted
MOUVEMENT D'IMPLICATION FRANCOPHONE D'ORLÉANS (M.I.F.O.),MOUVEMENT D IMPLICATION FRANCOPHONE D ORLEANS M I F O,MOUVEMENT D'IMPLICATION FRANCOPHONE D'ORLÉANS (M.I.F.O.),100,39,accepted
SOCIÉTÉ DE L'ACADIE DU NOUVEAU-BRUNSWICK INC.,SOCIETE DE L ACADIE DU NOUVEAU BRUNSWICK INC,SOCIÉTÉ DE L'ACADIE DU NOUVEAU-BRUNSWICK INC.,100,39,accepted
CENTRE EXPO-FESTIVAL CENTER LTD.,CENTRE EXPO FESTIVAL CENTER LTD,CENTRE EXPO-FESTIVAL CENTER LTD.,100,38,accepted
VILLAGE EN CHANSON DE PETITE-VALLÉE,VILLAGE EN CHANSON DE PETITE VALLEE,VILLAGE EN CHANSON DE PETITE-VALLÉE,100,38,accepted
PRODUCTION DE L'ÉTOILE INC.,PRODUCTION DE L ETOILE INC,PRODUCTION DE L'ÉTOILE INC.,100,37,accepted
CHINESE CULTURAL CENTRE OF GREATER TORONTO,CHINESE CULTURAL CENTRE OF GREATER TORONTO,CHINESE CULTURAL CENTRE OF GREATER TORONTO,100,36,accepted
D B C COMMUNICATIONS INC.,D B C COMMUNICATIONS INC,D B C COMMUNICATIONS INC.,100,36,accepted
FESTIVAL DES SUCRES DE ST-PIERRE-BAPTISTE,FESTIVAL DES SUCRES DE ST PIERRE BAPTISTE,FESTIVAL DES SUCRES DE ST-PIERRE-BAPTISTE,100,35,accepted
Nova Scotia Business Incorporated|Nova Scotia Business Incorporated,NOVA SCOTIA BUSINESS INCORPORATED,Nova Scotia Business Incorporated|Nova Scotia Business Incorporated,100,35,accepted
AFRICA FESTIVAL OF ARTS AND CULTURE SOCIETY (AFACS),AFRICA FESTIVAL OF ARTS AND CULTURE SOCIETY AFACS,AFRICA FESTIVAL OF ARTS AND CULTURE SOCIETY (AFACS),100,34,accepted
ASSOCIATION DE LA PRESSE FRANCOPHONE,ASSOCIATION DE LA PRESSE FRANCOPHONE,ASSOCIATION DE LA PRESSE FRANCOPHONE,100,34,accepted
ASSOCIATION FOR NEW CANADIANS,ASSOCIATION FOR NEW CANADIANS,ASSOCIATION FOR NEW CANADIANS,100,34,accepted
Atlantic Film Festival Association|Atlantic Film Festival Association,ATLANTIC FILM FESTIVAL ASSOCIATION,Atlantic Film Festival Association|Atlantic Film Festival Association,100,34,accepted
CONSEIL COMMUNAUTAIRE ÉTOILE DE L'ACADIE,CONSEIL COMMUNAUTAIRE ETOILE DE L ACADIE,CONSEIL COMMUNAUTAIRE ÉTOILE DE L'ACADIE,100,34,accepted
City of St. John's|City of St. John's,CITY OF ST JOHN S,City of St. John's|City of St. John's,100,34,accepted
Coastal Business Opportunities Incorporated|Coastal Business Opportunities Incorporated,COASTAL BUSINESS OPPORTUNITIES INCORPORATED,Coastal Business Opportunities Incorporated|Coastal Business Opportunities Incorporated,100,34,accepted
Nova Scotia Community College|Nova Scotia Community College,NOVA SCOTIA COMMUNITY COLLEGE,Nova Scotia Community College|Nova Scotia Community College,100,34,accepted
CANADA'S NATIONAL HISTORY SOCIETY/SOCIÉTÉ D'HISTOIRE NATIONALE DU CANADA,CANADA S NATIONAL HISTORY SOCIETY SOCIETE D HISTOIRE NATIONALE DU CANADA,CANADA'S NATIONAL HISTORY SOCIETY/SOCIÉTÉ D'HISTOIRE NATIONALE DU CANADA,100,33,accepted
FÉDÉRATION CULTURELLE ACADIENNE DE LA NOUVELLE-ÉCOSSE,FEDERATION CULTURELLE ACADIENNE DE LA NOUVELLE ECOSSE,FÉDÉRATION CULTURELLE ACADIENNE DE LA NOUVELLE-ÉCOSSE,100,33,accepted
JEWISH RUSSIAN SPEAKING COMMUNITY OF TORONTO,JEWISH RUSSIAN SPEAKING COMMUNITY OF TORONTO,JEWISH RUSSIAN SPEAKING COMMUNITY OF TORONTO,100,33,accepted
KARATE CANADA,KARATE CANADA,KARATE CANADA,100,32,accepted
Montréal International|Montréal International,MONTREAL INTERNATIONAL,Montréal International|Montréal International,100,32,accepted
QUEBEC ANGLOPHONE HERITAGE NETWORK,QUEBEC ANGLOPHONE HERITAGE NETWORK,QUEBEC ANGLOPHONE HERITAGE NETWORK,100,32,accepted
